county,hpsa_score,underserved_pop,provider_fte,capacity_index,capacity_z,risk_score,risk_z,intervention_priority,category
"Anderson County, KS",12.666666666666666,49477.0,0.216,-12.666666666666666,-0.48196400770881215,0.36163602504763415,0.3422323790800296,0.8241963867888418,Moderate
"Anderson County, KY",10.333333333333334,117418.0,0.859,-10.333333333333334,-0.03419144719263247,-0.6451197546051243,-0.6761627996039075,-0.641971352411275,Moderate
"Anderson County, SC",3.0,109433.0,33.331199999999995,-3.0,1.373093743001076,0.36139560550841393,0.3419891799799582,-1.0311045630211177,Moderate
"Anderson County, TN",13.0,26161.0,5.93,-13.0,-0.5459315163539809,1.5380365664659692,1.5322336324076475,2.078165148761628,High Priority
"Anderson County, TX",6.923076923076923,193278.0,16.66,-6.923076923076923,0.6202453720233229,-0.03582603910995153,-0.05982486064841962,-0.6800702326717425,Moderate
"Andrew County, MO",3.0,56324.0,15.005,-3.0,1.373093743001076,1.564643655814006,1.5591483341242838,0.18605459112320788,Moderate
"Andrews County, TX",11.0,55265.0,8.775,-11.0,-0.16212646448296947,-2.6197451040897444,-2.6736173722668237,-2.511490907783854,Moderate
"Androscoggin County, ME",2.5,130960.0,9.8,-2.5,1.4690450059688287,0.8219025043752238,0.8078201342540986,-0.6612248717147301,Moderate
"Angaur State, PW",12.0,39814.0,3.0,-12.0,-0.35402899041847513,0.08704706823817134,0.06446881875454552,0.41849780917302065,Moderate
"Angelina County, TX",9.5,33422.0,4.0195,-9.5,0.12572732442028903,-0.29900735046586785,-0.3260488883833539,-0.4517762128036429,Moderate
"Anne Arundel County, MD",9.333333333333334,399418.0,54.957,-9.333333333333334,0.1577110787428732,0.0917607765355023,0.0692370236168807,-0.08847405512599252,Moderate
"Anoka County, MN",7.846153846153846,167499.0,46.6916,-7.846153846153846,0.4431045788520869,-1.9875689146008928,-2.034132408320269,-2.4772369871723563,Moderate
"Anson County, NC",16.6,103374.0,13.95,-16.6,-1.2367806097218015,-0.21967188783751193,-0.24579620518818568,0.9909844045336158,Moderate
"Antelope County, NE",0.48148148148148145,218119.0,52.286,-0.48148148148148145,1.8564038083201273,0.3571125715117464,0.3376566285702707,-1.5187471797498566,Moderate
"Antrim County, MI",6.173913043478261,633393.0,144.4367,-6.173913043478261,0.7640118128579493,1.477894044741516,1.4713957853389152,0.707383972480966,Moderate
"Apache County, AZ",12.976190476190476,4663239.0,709.775,-12.976190476190476,-0.5413624085936116,-0.5182702182736474,-0.5478467185551096,-0.006484309961497958,Moderate
"Appanoose County, IA",4.75,43530.0,1.9988000000000001,-4.75,1.037264322613941,-0.8084936028931876,-0.8414254608989742,-1.8786897835129153,Low Priority
"Appling County, GA",11.6,112516.0,1.5248,-11.6,-0.27726798004427283,-0.5017570435845365,-0.5311426302071327,-0.25387465016285987,Moderate
"Appomattox County, VA",15.0,20995.0,3.2446,-15.0,-0.9297365682249922,0.9154021177020741,0.9024007240508803,1.8321372922758725,High Priority
"Aransas County, TX",7.0,27655.0,3.1750000000000003,-7.0,0.6054836392590532,0.32875110965968446,0.30896727153421727,-0.29651636772483597,Moderate
"Arapahoe County, CO",13.333333333333334,2324141.0,335.678,-13.333333333333334,-0.6098990249991495,-0.5297602037670388,-0.5594695431428702,0.05042948185627927,Moderate
"Archer County, TX",15.0,8663.0,0.0,-15.0,-0.9297365682249922,0.5132674331133561,0.49561684235517406,1.4253534105801662,Moderate
"Archuleta County, CO",11.8,41090.0,7.0518,-11.8,-0.3156484852313742,0.09707754934804039,0.07461526520027065,0.39026375043164485,Moderate
"Arecibo Municipio, PR",8.5,210750.0,32.51,-8.5,0.3176298503557947,0.9686449905328892,0.956259153360207,0.6386293030044122,Moderate
"Arenac County, MI",4.0476190476190474,541428.0,113.0397,-4.0476190476190474,1.1720530015448318,-0.7020530938773524,-0.733754361920254,-1.9058073634650858,Low Priority
"Arkansas County, AR",7.148148148148148,173741.0,51.55,-7.148148148148148,0.5770536354167561,-0.3276621465977682,-0.3550349710229426,-0.9320886064396987,Moderate
"Arlington County, VA",12.5,947228.0,136.9045,-12.5,-0.449980253386228,-0.39210815313215763,-0.4202260567524854,0.02975419663374257,Moderate
"Armstrong County, PA",7.917808219178082,1183407.0,328.95,-7.917808219178082,0.4293539236744111,-1.4635149481321186,-1.5040197001458295,-1.9333736238202406,Moderate
"Armstrong County, TX",15.0,129524.0,0.0,-15.0,-0.9297365682249922,0.29612027706457605,0.27595918430698246,1.2056957525319747,Moderate
"Arno, MH",25.0,53158.0,0.0,-25.0,-2.848761827580049,0.26105527217988933,0.2404887826099488,3.089250610189998,Moderate
"Aroostook County, ME",4.266666666666667,2092360.0,550.0542,-4.266666666666667,1.1300172101494355,0.0051134566424609,-0.018412051370693305,-1.1484292615201288,Moderate
"Arroyo Municipio, PR",10.25,156939.0,26.5,-10.25,-0.01819957003134022,-0.23458713337514742,-0.26088389025680697,-0.24268432022546677,Moderate
"Arthur County, NE",7.0,15038.0,1.5178,-7.0,0.6054836392590532,-1.4153707420504142,-1.4553188847682565,-2.06080252402731,Low Priority
"Ascension Parish, LA",7.466666666666667,277693.0,76.8,-7.466666666666667,0.5159291271558172,-0.42064532276535904,-0.4490931529789028,-0.9650222801347199,Moderate
"Ashe County, NC",17.0,10073.0,0.9762,-17.0,-1.3135416200960035,-0.3427145165267695,-0.3702613658182615,0.943280254277742,Moderate
"Ashland County, OH",10.235294117647058,335210.0,56.052800000000005,-10.235294117647058,-0.015377474061700272,-0.8022772692216189,-0.8351372583694594,-0.8197597843077591,Moderate
"Ashland County, WI",5.46875,461857.0,102.413,-5.46875,0.8993343820977963,-0.16128571166600914,-0.1867350092987934,-1.0860693913965895,Moderate
"Ashley County, AR",14.75,62878.0,9.16,-14.75,-0.8817609367411158,0.4040508568145384,0.38513758116489283,1.2668985179060086,Moderate
"Ashtabula County, OH",7.7368421052631575,578832.0,122.59920000000001,-7.7368421052631575,0.46408177804341755,1.8861859012105302,1.884408023786032,1.4203262457426145,Moderate
"Asotin County, WA",15.5,16131.0,0.34750000000000003,-15.5,-1.025687831192745,0.17457781283183896,0.15301153197497713,1.1786993631677223,Moderate
"Assumption Parish, LA",16.0,144994.0,7.75,-16.0,-1.121639094160498,0.257550390722764,0.23694338018968528,1.358582474350183,Moderate
"Atascosa County, TX",15.0,76661.0,8.35,-15.0,-0.9297365682249922,-0.0744459157661671,-0.0988912330328163,0.8308453351921758,Moderate
"Atchison County, KS",8.5,9202.0,1.55,-8.5,0.3176298503557947,-1.9187712152990415,-1.9645393186260454,-2.28216916898184,Moderate
"Atchison County, MO",15.0,1809.0,0.1,-15.0,-0.9297365682249922,-0.026513875449216878,-0.0504050363306701,0.8793315318943221,Moderate
"Athens County, OH",8.0,47793.0,10.2809,-8.0,0.4135811133235476,0.06023020994102644,0.037341922888417714,-0.3762391904351299,Moderate
"Atkinson County, GA",16.5,12440.0,0.9,-16.5,-1.2175903571282507,2.463242112485286,2.4681357512737505,3.685726108402001,High Priority
"Atlantic County, NJ",0.20408163265306123,860066.0,239.6,-0.20408163265306123,1.9096375400044285,-0.19236096478112252,-0.21816953253513363,-2.127807072539562,Moderate
"Atoka County, OK",12.6,69498.0,8.0,-12.6,-0.4691705059797785,0.30154734233361247,0.2814489934703289,0.7506194994501074,Moderate
"Attala County, MS",10.0,7599.0,6.66,-10.0,0.0297760614525362,-0.03471176970524331,-0.05869770884810786,-0.08847377030064406,Moderate
"Audrain County, MO",15.75,129598.0,0.9,-15.75,-1.0736634626766215,-1.168678037619532,-1.2057740935820918,-0.13211063090547026,Moderate
"Audubon County, IA",8.875,55014.0,6.2,-8.875,0.2456664031299801,1.1428228145150205,1.1324506982830906,0.8867842951531105,Moderate
"Auglaize County, OH",6.0,45601.0,13.675,-6.0,0.7973861651945588,0.7519330326867741,0.7370417249688233,-0.060344440225735596,Moderate
"Augusta County, VA",6.0,1367.0,0.5,-6.0,0.7973861651945588,0.7910319470430469,0.7765926733487155,-0.020793491845843337,Moderate
"Aur, MH",25.0,53158.0,0.0,-25.0,-2.848761827580049,-0.9093874547947389,-0.9434857762326797,1.9052760513473692,Moderate
"Aurora County, SD",10.458333333333334,119233.0,18.75,-10.458333333333334,-0.05817926293457069,1.4027943109360992,1.3954278014707093,1.45360706440528,Moderate
"Austin County, TX",13.0,29586.0,2.05,-13.0,-0.5459315163539809,-1.4018510627922809,-1.4416429005304654,-0.8957113841764845,Moderate
"Autauga County, AL",13.0,1248722.0,198.245,-13.0,-0.5459315163539809,0.5868570938002703,0.570057294706378,1.1159888110603589,High Priority
"Avery County, NC",8.666666666666666,6876.0,1.1446,-8.666666666666666,0.28564609603321056,2.1904556258099785,2.1921954999686313,1.9065494039354207,Moderate
"Avoyelles Parish, LA",19.583333333333332,350257.0,7.525,-19.583333333333332,-1.8092898120960597,-0.9905363251306883,-1.0255728324741475,0.7837169796219121,Moderate
"Baca County, CO",12.2,14959.0,0.5,-12.2,-0.39240949560557614,-0.5662977296027719,-0.5964294900378208,-0.2040199944322446,Moderate
"Bacon County, GA",17.0,4671.0,0.5818,-17.0,-1.3135416200960035,0.09965136508764122,0.07721883757900025,1.3907604576750037,Moderate
"Bailey County, TX",15.25,61105.0,1.25,-15.25,-0.9777121997088686,-0.5034756541161992,-0.5328811100995295,0.44483108960933904,Moderate
"Baker County, FL",12.0,688079.0,6.0,-12.0,-0.35402899041847513,-1.5506634310661327,-1.5921757322673742,-1.2381467418488992,Moderate
"Baker County, GA",8.0,5660.0,0.9,-8.0,0.4135811133235476,0.06856297480602733,0.0457710252935221,-0.36781008803002546,Moderate
"Baker County, OR",8.473684210526315,88105.0,14.08,-8.473684210526315,0.32267991682778185,-1.0623037137261049,-1.098169944911404,-1.4208498617391858,Moderate
"Baldwin County, AL",13.666666666666666,918253.0,162.815,-13.666666666666666,-0.6738665336443178,0.4735924306351816,0.4554831455295325,1.1293496791738504,Moderate
"Baldwin County, GA",12.0,16816.0,1.9002,-12.0,-0.35402899041847513,-0.9194242342338034,-0.9536385938244325,-0.5996096034059574,Moderate
"Ballard County, KY",10.666666666666666,13678.0,0.1,-10.666666666666666,-0.09815895583780081,1.5499344050175399,1.5442690253624898,1.6424279812002907,Moderate
"Baltimore City, MD",11.405498281786942,20244110.0,3474.7914,-11.405498281786942,-0.23994260902039108,-0.7832532923362371,-0.8158933397041502,-0.5759507306837591,Moderate
"Baltimore County, MD",12.175824175824175,7750179.0,889.1170000000001,-12.175824175824175,-0.3877700938796628,-0.3220615162056756,-0.3493695900992144,0.0384005037804484,Moderate
"Bamberg County, SC",6.642857142857143,332981.0,21.1,-6.642857142857143,0.6740202556645909,0.8135172173696698,0.7993379024845599,0.12531764681996904,Moderate
"Bandera County, TX",16.5,26926.0,1.15,-16.5,-1.2175903571282507,-1.2308643164339552,-1.2686793262163132,-0.051088969088062486,Moderate
"Banks County, GA",17.0,5724.0,0.1238,-17.0,-1.3135416200960035,0.22745993460412942,0.20650503947691828,1.5200466595729218,Moderate
"Banner County, NE",7.0,657.0,0.0,-7.0,0.6054836392590532,1.307142754282428,1.2986703890987532,0.6931867498397,Moderate
"Bannock County, ID",5.181818181818182,77820.0,10.3126,-5.181818181818182,0.9543973227781545,-1.6074832345612275,-1.6496524461861477,-2.6040497689643023,Low Priority
"Baraga County, MI",11.777777777777779,39014.0,1.0,-11.777777777777779,-0.3113839846550296,0.1846338585323042,0.16318383857103302,0.4745678232260626,Moderate
"Barber County, KS",12.333333333333334,14971.0,0.0,-12.333333333333334,-0.41799649906364383,0.2598827942484235,0.23930274931701853,0.6572992483806623,Moderate
"Barbour County, AL",11.818181818181818,90499.0,19.695,-11.818181818181818,-0.31913762206656504,0.78182287177731,0.7672771292611527,1.0864147513277178,Moderate
"Barbour County, WV",11.0,31060.0,4.3,-11.0,-0.16212646448296947,-1.236950710878082,-1.274836087252843,-1.1127096227698736,Moderate
"Barceloneta Municipio, PR",7.5,217187.0,9.51,-7.5,0.5095323762913004,-1.3204566130842763,-1.3593074257017492,-1.8688398019930497,Low Priority
"Barnes County, ND",11.0,30132.0,0.0,-11.0,-0.16212646448296947,0.5219415656168976,0.5043912590502728,0.6665177235332422,Moderate
"Barnstable County, MA",6.470588235294118,1277416.0,262.0,-6.470588235294118,0.7070790941660856,0.29698467323318606,0.27683357401338066,-0.43024552015270495,Moderate
"Barnwell County, SC",16.0,20153.0,3.3,-16.0,-1.121639094160498,0.25049285034587665,0.2298042455172543,1.3514433396777523,Moderate
"Barranquitas Municipio, PR",0.0,148203.0,30.3,-0.0,1.948801320807593,0.34644820949697586,0.3268689727364712,-1.6219323480711219,Moderate
"Barren County, KY",14.0,38796.0,7.2268,-14.0,-0.7378340422894865,-0.6800247215784908,-0.7114713131443602,0.026362729145126274,Moderate
"Barron County, WI",5.380952380952381,776304.0,128.9309,-5.380952380952381,0.9161829669641576,0.23225369716100355,0.21135422412958554,-0.7048287428345721,Moderate
"Barrow County, GA",8.0,39307.0,1.978,-8.0,0.4135811133235476,0.29307247329868125,0.2728761439872809,-0.1407049693362667,Moderate
"Barry County, MI",12.2,537786.0,13.65,-12.2,-0.39240949560557614,-0.7143514180263678,-0.7461948706040675,-0.3537853749984914,Moderate
"Barry County, MO",14.5,291471.0,0.0,-14.5,-0.8337853052572394,1.8657745111447566,1.8637606516493745,2.697545956906614,High Priority
"Barton County, KS",12.0,68556.0,1.6835,-12.0,-0.35402899041847513,0.4738329209117875,0.45572641618480536,0.8097554066032805,Moderate
"Barton County, MO",16.5,110362.0,0.171,-16.5,-1.2175903571282507,-1.1913034972026486,-1.228661132743567,-0.01107077561531633,Moderate
"Bartow County, GA",8.0,37907.0,0.7112,-8.0,0.4135811133235476,0.6565536086338297,0.6405595914024563,0.22697847807890875,Moderate
"Bastrop County, TX",10.0,120652.0,21.0,-10.0,0.0297760614525362,-0.9746816702273214,-1.00953487725242,-1.0393109387049562,Moderate
"Bates County, MO",10.333333333333334,162320.0,3.0,-10.333333333333334,-0.03419144719263247,0.787084603742452,0.7725996936537564,0.8067911408463888,Moderate
"Bath County, KY",12.0,77033.0,2.855,-12.0,-0.35402899041847513,1.158595579007404,1.1484058163347606,1.5024348067532358,Moderate
"Bath County, VA",11.0,3987.0,1.0,-11.0,-0.16212646448296947,-0.8206823183517105,-0.8537550936740563,-0.6916286291910869,Moderate
"Baxter County, AR",11.545454545454545,95692.0,3.1,-11.545454545454545,-0.26680056953869974,0.9633761292443218,0.9509293772199774,1.217729946758677,Moderate
"Bay County, FL",0.7291666666666666,556149.0,27.8007,-0.7291666666666666,1.8088723956462869,0.4127809269364983,0.39396858218963304,-1.4149038134566538,Moderate
"Bay County, MI",3.375,224944.0,52.4596,-3.375,1.3011302957752613,0.82206015999449,0.8079796125762478,-0.49315068319901345,Moderate
"Bayamon Municipio, PR",17.0,486686.0,0.0,-17.0,-1.3135416200960035,1.8967929826539474,1.8951377368109819,3.2086793569069854,High Priority
"Bayfield County, WI",6.064516129032258,232407.0,54.5575,-6.064516129032258,0.7850053570696875,-0.2453881160028705,-0.2718097462145607,-1.0568151032842483,Moderate
"Baylor County, TX",7.0,10447.0,1.5759999999999998,-7.0,0.6054836392590532,-0.7537361643574896,-0.7860349555461559,-1.3915185948052091,Low Priority
"Beadle County, SD",16.0,6860.0,0.2659,-16.0,-1.121639094160498,-0.8895144296255233,-0.9233829931871488,0.19825610097334911,Moderate
"Bear Lake County, ID",8.428571428571429,37738.0,1.2051,-8.428571428571429,0.33133717363690224,-0.8158102849654383,-0.8488267332799615,-1.1801639069168637,Moderate
"Beaufort County, NC",12.333333333333334,149318.0,27.0688,-12.333333333333334,-0.41799649906364383,-0.07710170941410412,-0.10157773109053925,0.3164187679731046,Moderate
"Beaufort County, SC",13.0,483697.0,111.887,-13.0,-0.5459315163539809,0.3411519748166435,0.32151150673266093,0.8674430230866418,Moderate
"Beauregard Parish, LA",6.414634146341464,764142.0,192.6932,-6.414634146341464,0.7178168251725199,0.27669079933001905,0.25630507667817454,-0.46151174849434534,Moderate
"Beaver County, OK",9.75,26983.0,1.6,-9.75,0.07775169293641261,0.8271832490360238,0.8131619311537147,0.7354102382173021,Moderate
"Beaver County, PA",2.5,176465.0,167.5,-2.5,1.4690450059688287,0.01300189187790702,-0.01043241562039279,-1.4794774215892215,Moderate
"Beaver County, UT",8.5,37925.0,5.6905,-8.5,0.3176298503557947,1.4535340771573169,1.4467541850203134,1.1291243346645188,Moderate
"Beaverhead County, MT",13.0,3024.0,0.5122,-13.0,-0.5459315163539809,-0.2646568332379561,-0.2913012347445829,0.25463028160939793,Moderate
"Becker County, MN",15.6,62854.0,7.2844999999999995,-15.6,-1.0448780837862954,2.720169166589619,2.7280332144535167,3.772911298239812,High Priority
"Beckham County, OK",12.0,18428.0,2.6468,-12.0,-0.35402899041847513,0.6256673477650062,0.6093162454072307,0.9633452358257059,Moderate
"Bedford County, PA",10.80952380952381,867538.0,136.9445,-10.80952380952381,-0.12557360240001614,-0.8571575564162826,-0.8906520326706432,-0.765078430270627,Moderate
"Bedford County, TN",11.5,347704.0,1.52,-11.5,-0.2580777274507223,-1.0708924980611123,-1.1068580267027441,-0.8487802992520218,Moderate
"Bedford County, VA",4.5,183204.0,44.85,-4.5,1.0852399540978175,0.4824724152431853,0.46446579424568657,-0.6207741598521309,Moderate
"Bee County, TX",7.888888888888889,98415.0,9.08,-7.888888888888889,0.43490361620527035,-0.22346278532585084,-0.2496309303549396,-0.68453454656021,Moderate
